requirement_id,priority,path,value,confidence,source_refs,implementation,tests,status
REQ-0019,must,strategy.lottery.after_sl,True,0.96,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p7:Sử dụng chế độ xổ số? Bật chế độ Martingale kiểu ""xổ số"": nếu lệnh trước bị cắt lỗ (SL), lệnh tiếp theo sẽ tăng lots theo hệ số nhân.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p7:Sử dụng chế độ xổ số? Bật chế độ Martingale kiểu ""xổ số"": nếu lệnh trước bị cắt lỗ (SL), lệnh tiếp theo sẽ tăng lots theo hệ số nhân.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p23:Nếu dùng chế độ xổ số: đủ thời gian delay sau SL/TP và không nằm trong chuỗi xổ số đang chờ.",OnTradeTransaction::Lottery,model:test_lottery_after_sl,GENERATED
REQ-0020,must,strategy.exit.basket_tp,True,0.99,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p2:Các chức năng đặc biệt khác: Reset lots thủ công, điều chỉnh TP chuỗi khi âm, mở lệnh ngược chiều, DCA theo tín hiệu ngoài, xổ số;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p9:TP đơn lệnh Nếu >0, mỗi lệnh sẽ tự chốt lời riêng với TP này, thay vì dùng TP chuỗi. Giá trị 0 → dùng TP chuỗi.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p9:TP đơn lệnh Nếu >0, mỗi lệnh sẽ tự chốt lời riêng với TP này, thay vì dùng TP chuỗi. Giá trị 0 → dùng TP chuỗi.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p9:TP chuỗi DCA, pips Chốt lời chung cho toàn bộ chuỗi lệnh cùng chiều, tính trên giá trung bình + số pips TP chuỗi.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p9:TP chuỗi DCA, pips Chốt lời chung cho toàn bộ chuỗi lệnh cùng chiều, tính trên giá trung bình + số pips TP chuỗi.",CExitEngine::ManageBasketTP,model:test_weighted_basket_tp,GENERATED
REQ-0021,must,strategy.exit.money,True,0.99,/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p16:Money TP All account Đóng tất cả mọi lệnh trên toàn tài khoản (không quan tâm Magic) khi lợi nhuận đạt mức $.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p16:Money TP All Đóng lệnh cùng Magic hiện tại khi lợi nhuận đạt mức $.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p16:Money TP Buy Đóng riêng lệnh Buy khi lợi nhuận đạt mức $.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p16:Money TP Sell Đóng riêng lệnh Sell khi lợi nhuận đạt mức $.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p16:Money TP All khi mở lệnh DCA Signal âm hoặc xuất hiện,CExitEngine::ManageMoneyLimits,model:test_money_exit,GENERATED
REQ-0022,must,strategy.exit.daily_target,True,0.84,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p2:Quản lý vốn & rủi ro: max lots, max spread, target lợi nhuận ngày, target bậc thang, trailing, cân lots 2 chiều (thêm lots độc lập hoặc",CRiskEngine::DailyGate,model:test_daily_halt,GENERATED
REQ-0023,must,strategy.exit.trailing,True,0.99,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p2:Quản lý vốn & rủi ro: max lots, max spread, target lợi nhuận ngày, target bậc thang, trailing, cân lots 2 chiều (thêm lots độc lập hoặc;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p18:🏃 Nhóm: Trailing;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p18:Sử dụng trailing chuỗi DCA? Kéo SL tự động theo giá khi có lợi nhuận.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p18:Pips bắt đầu trailing Khi lợi nhuận của chuỗi (tính từ giá trung bình) đạt mức pips này, bắt đầu trailing.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p18:Pips bắt đầu trailing Khi lợi nhuận của chuỗi (tính từ giá trung bình) đạt mức pips này, bắt đầu trailing.",ManageTrailing,model:test_trailing,GENERATED
REQ-0024,must,strategy.exit.single_tp,True,0.96,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p6:TP, pips Chốt lời cho lệnh đầu tiên (nếu không sử dụng DCA hoặc Single TP = 0).;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p9:TP đơn lệnh Nếu >0, mỗi lệnh sẽ tự chốt lời riêng với TP này, thay vì dùng TP chuỗi. Giá trị 0 → dùng TP chuỗi.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p25:Chạm TP chuỗi (tính trên giá trung bình tính theo số lots) hoặc TP đơn lệnh (nếu bật).",OpenLeg,model:test_single_tp,GENERATED
REQ-0025,must,strategy.exit.adaptive_basket_tp,True,0.96,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p2:Các chức năng đặc biệt khác: Reset lots thủ công, điều chỉnh TP chuỗi khi âm, mở lệnh ngược chiều, DCA theo tín hiệu ngoài, xổ số;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p10:📉 Nhóm: Điều chỉnh TP chuỗi khi âm;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p10:Điều chỉnh TP chuỗi khi âm? Khi thua lỗ vượt ngưỡng, TP chuỗi sẽ được rút ngắn (đặt gần hơn) để dễ chốt lời.",AdaptiveBasketTP,model:test_adaptive_basket_tp,GENERATED
REQ-0026,must,strategy.exit.account_money,True,0.9,/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p16:Money TP All account Đóng tất cả mọi lệnh trên toàn tài khoản (không quan tâm Magic) khi lợi nhuận đạt mức $.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p16:Money SL All account Đóng tất cả mọi lệnh khi thua lỗ đạt mức -$.,ManageAccountMoneyExit,model:test_account_money_exit,GENERATED
REQ-0027,must,strategy.exit.side_money,True,0.99,/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p16:Money TP Buy Đóng riêng lệnh Buy khi lợi nhuận đạt mức $.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p16:Money SL Buy Đóng riêng lệnh Buy khi thua lỗ đạt mức -$.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p16:Money TP Sell Đóng riêng lệnh Sell khi lợi nhuận đạt mức $.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p16:Money SL Sell Đóng riêng lệnh Sell khi thua lỗ đạt mức -$.,ManageSideMoneyExit,model:test_side_money_exit,GENERATED
REQ-0028,must,strategy.exit.stepped_target,True,0.96,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p17:📊 Nhóm: Mục tiêu lợi nhuận Bậc thang;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p17:Sử dụng mục tiêu lợi nhuận bậc thang? Bật chế độ chốt lời từng bậc.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p17:Số tiền Mục tiêu lợi nhuận bậc thang, $ Khi lợi nhuận tích lũy (lịch sử + floating) đạt mức này, đóng hết lệnh và delay.",ManageSteppedTarget,model:test_stepped_target,GENERATED
REQ-0029,must,strategy.exit.trend_reversal,True,0.84,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p25:Đảo trend (nếu bật Đóng lệnh khi đảo trend): khi RSI+EMA+MACD đảo chiều hoàn toàn, đóng hết lệnh cùng hướng cũ.",ManageTrendReversalExit,model:test_trend_reversal_exit,GENERATED
REQ-0030,must,strategy.exit.balance_difference,True,0.96,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p5:Close Buy / Close Sell / Close All – Đóng lệnh theo chiều hoặc tất cả.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p16:% lãi/lỗ giữa buy và sell để Close All Ví dụ: nếu Buy lời 10%, Sell lỗ 8%, chênh lệch 2% thì đóng hết. Công thức: (lợi nhuận chiều lời) + (lợi;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p16:% lãi/lỗ giữa buy và sell để Close All Ví dụ: nếu Buy lời 10%, Sell lỗ 8%, chênh lệch 2% thì đóng hết. Công thức: (lợi nhuận chiều lời) + (lợi",ManageBalanceDifferenceExit,model:test_balance_difference_exit,GENERATED
REQ-0031,must,strategy.time.sessions,True,0.99,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p18:⏰ Nhóm: Giới hạn thời gian theo giờ PC/Laptop;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p18:Sử dụng giới hạn thời gian? Bật lịch giao dịch theo khung giờ.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p18:Sử dụng giới hạn thời gian 1,2,3,4 Bật/tắt từng khung giờ.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p18:DCA ngoài thời gian? Nếu true, vẫn cho phép nhồi lệnh DCA ngay cả ngoài khung giờ giao dịch.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p23:Trong khung giờ giao dịch (hoặc được phép DCA ngoài giờ).",SessionAllowed,model:test_session_gate,GENERATED
REQ-0032,must,strategy.filter.trend,True,0.9,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p2:Bộ lọc xu hướng: RSI, EMA (có min/max khoảng cách), MACD, Zone Cycle (tự động bật New Cycle khi giá ra khỏi vùng).;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p23:Bộ lọc xu hướng (nếu bật): EMA xu hướng lên (cho Buy) hoặc xuống (cho Sell), MACD cùng dấu, RSI trong vùng cho phép.",CFilterEngine,model:test_filter_gate,GENERATED
REQ-0033,must,strategy.filter.ema,True,0.99,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p2:Bộ lọc xu hướng: RSI, EMA (có min/max khoảng cách), MACD, Zone Cycle (tự động bật New Cycle khi giá ra khỏi vùng).;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p19:Nếu bật bộ lọc RSI/EMA/MACD và xu hướng đảo chiều hoàn toàn, bot sẽ đóng hết lệnh cùng hướng cũ.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p20:📈 Bộ lọc EMA;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p20:Sử dụng bộ lọc EMA Xác định xu hướng dựa trên 2 đường EMA (chỉ cho phép Buy khi EMA 1 > EMA 2, chỉ cho phép Sell khi EMA 1 < EMA 2).;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p23:Bộ lọc xu hướng (nếu bật): EMA xu hướng lên (cho Buy) hoặc xuống (cho Sell), MACD cùng dấu, RSI trong vùng cho phép.",CFilterEngine::EMA,model:test_ema_filter,GENERATED
REQ-0034,must,strategy.filter.macd,True,0.99,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p2:Bộ lọc xu hướng: RSI, EMA (có min/max khoảng cách), MACD, Zone Cycle (tự động bật New Cycle khi giá ra khỏi vùng).;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p19:Nếu bật bộ lọc RSI/EMA/MACD và xu hướng đảo chiều hoàn toàn, bot sẽ đóng hết lệnh cùng hướng cũ.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p20:📉 Bộ lọc MACD;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p20:Sử dụng bộ lọc MACD Dùng histogram MACD để xác định xu hướng (dương → up, âm → down).;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p23:Bộ lọc xu hướng (nếu bật): EMA xu hướng lên (cho Buy) hoặc xuống (cho Sell), MACD cùng dấu, RSI trong vùng cho phép.",CFilterEngine::MACD,model:test_macd_filter,GENERATED
REQ-0035,must,strategy.filter.zone_cycle,True,0.96,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p2:Bộ lọc xu hướng: RSI, EMA (có min/max khoảng cách), MACD, Zone Cycle (tự động bật New Cycle khi giá ra khỏi vùng).;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p20:🔄 Bộ lọc Zone Cycle;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p20:Sử dụng Zone Cycle? Khi giá vượt ra ngoài vùng (trên 'Vùng giá trên' hoặc dưới 'Vùng giá trên'), bot tự động bật New Cycle (dừng mở lệnh mới).",ManageZoneCycle,model:test_zone_cycle,GENERATED
REQ-0036,must,strategy.filter.rsi,True,0.99,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p2:Bộ lọc xu hướng: RSI, EMA (có min/max khoảng cách), MACD, Zone Cycle (tự động bật New Cycle khi giá ra khỏi vùng).;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p19:Nếu bật bộ lọc RSI/EMA/MACD và xu hướng đảo chiều hoàn toàn, bot sẽ đóng hết lệnh cùng hướng cũ.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p19:📊 Bộ lọc RSI;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p19:Sử dụng bộ lọc RSI Chỉ cho phép Buy khi RSI > RSI Up Level, chỉ Sell khi RSI < RSI Down Level.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p19:RSI TF, RSI Price, RSI Period Cấu hình chỉ báo RSI cho bộ lọc.",CFilterEngine::RSI,model:test_rsi_filter,GENERATED
